Flight;Turn;Aircraft;Frequency;Passengers (332450);;FREQUÊNCIA DO AVIÃO E190-E2;;VOOS DE IDA E190-E2;;E190-E2;SBCF;50
SBGOSBCF;SAB1;A319Neo;1;10;;;;;;;;
SBGOSBCF;SAB1;B737-M7;0;0;;;;;;;;
SBGOSBCF;SAB1;ATR-72;1;27;;;;;;;;
SBGOSBCF;SAB2;E190-E2;0;0;;;;;;;;
SBGOSBCF;SAB2;E195-E2;0;0;;;;;;;;
SBGOSBCF;SAB2;A220-100;0;0;;;;;;;;
SBGOSBCF;SAB2;A220-300;0;0;;;;;;;;
SBGOSBCF;SAB2;A319Neo;0;0;;;;;;;;
SBGOSBCF;SAB2;B737-M7;0;0;;;;;;;;
SBGOSBCF;SAB2;ATR-72;0;0;;;;;;;;
SBGOSBCF;SAB3;E190-E2;0;0;;;;;;;;
SBGOSBCF;SAB3;E195-E2;1;5;;;;;;;;
SBGOSBCF;SAB3;A220-100;1;4;;;;;;;;
SBGOSBCF;SAB3;A220-300;0;0;;;;;;;;
SBGOSBCF;SAB3;A319Neo;1;44;;;;;;;;
SBGOSBCF;SAB3;B737-M7;0;0;;;;;;;;
SBGOSBCF;SAB3;ATR-72;1;49;;;;;;;;
SBGOSBCF;SAB4;E190-E2;0;0;;;;;;;;
SBGOSBCF;SAB4;E195-E2;0;0;;;;;;;;
SBGOSBCF;SAB4;A220-100;0;0;;;;;;;;
SBGOSBCF;SAB4;A220-300;0;0;;;;;;;;
SBGOSBCF;SAB4;A319Neo;0;0;;;;;;;;
SBGOSBCF;SAB4;B737-M7;0;0;;;;;;;;
SBGOSBCF;SAB4;ATR-72;0;0;;;;;;;;
SBGOSBCF;DOM1;E190-E2;1;14;;;;;;;;
SBGOSBCF;DOM1;E195-E2;0;0;;;;;;;;
SBGOSBCF;DOM1;A220-100;1;19;;;;;;;;
SBGOSBCF;DOM1;A220-300;0;0;;;;;;;;
SBGOSBCF;DOM1;A319Neo;1;39;;;;;;;;
SBGOSBCF;DOM1;B737-M7;1;3;;;;;;;;
SBGOSBCF;DOM1;ATR-72;1;18;;;;;;;;
SBGOSBCF;DOM2;E190-E2;0;0;;;;;;;;
SBGOSBCF;DOM2;E195-E2;0;0;;;;;;;;
SBGOSBCF;DOM2;A220-100;0;0;;;;;;;;
SBGOSBCF;DOM2;A220-300;0;0;;;;;;;;
SBGOSBCF;DOM2;A319Neo;0;0;;;;;;;;
SBGOSBCF;DOM2;B737-M7;0;0;;;;;;;;
SBGOSBCF;DOM2;ATR-72;0;0;;;;;;;;
SBGOSBCF;DOM3;E190-E2;0;0;;;;;;;;
SBGOSBCF;DOM3;E195-E2;1;11;;;;;;;;
SBGOSBCF;DOM3;A220-100;0;0;;;;;;;;
SBGOSBCF;DOM3;A220-300;0;0;;;;;;;;
SBGOSBCF;DOM3;A319Neo;0;0;;;;;;;;
SBGOSBCF;DOM3;B737-M7;0;0;;;;;;;;
SBGOSBCF;DOM3;ATR-72;1;3;;;;;;;;
SBGOSBCF;DOM4;E190-E2;0;0;;;;;;;;
SBGOSBCF;DOM4;E195-E2;0;0;;;;;;;;
SBGOSBCF;DOM4;A220-100;0;0;;;;;;;;
SBGOSBCF;DOM4;A220-300;0;0;;;;;;;;
SBGOSBCF;DOM4;A319Neo;0;0;;;;;;;;
SBGOSBCF;DOM4;B737-M7;0;0;;;;;;;;
SBGOSBCF;DOM4;ATR-72;0;0;;;;;;;;
SBGOSBCT;SEG1;E190-E2;1;4;;;;;;;;
SBGOSBCT;SEG1;E195-E2;1;26;;;;;;;;
SBGOSBCT;SEG1;A220-100;1;21;;;;;;;;
SBGOSBCT;SEG1;A220-300;0;0;;;;;;;;
SBGOSBCT;SEG1;A319Neo;0;0;;;;;;;;
SBGOSBCT;SEG1;B737-M7;0;0;;;;;;;;
SBGOSBCT;SEG1;ATR-72;0;0;;;;;;;;
SBGOSBCT;SEG2;E190-E2;0;0;;;;;;;;
SBGOSBCT;SEG2;E195-E2;0;0;;;;;;;;
SBGOSBCT;SEG2;A220-100;0;0;;;;;;;;
SBGOSBCT;SEG2;A220-300;0;0;;;;;;;;
SBGOSBCT;SEG2;A319Neo;0;0;;;;;;;;
SBGOSBCT;SEG2;B737-M7;0;0;;;;;;;;
SBGOSBCT;SEG2;ATR-72;0;0;;;;;;;;
SBGOSBCT;SEG3;E190-E2;0;0;;;;;;;;
SBGOSBCT;SEG3;E195-E2;0;0;;;;;;;;
SBGOSBCT;SEG3;A220-100;0;0;;;;;;;;
SBGOSBCT;SEG3;A220-300;0;0;;;;;;;;
SBGOSBCT;SEG3;A319Neo;0;0;;;;;;;;
SBGOSBCT;SEG3;B737-M7;0;0;;;;;;;;
SBGOSBCT;SEG3;ATR-72;0;0;;;;;;;;
