Flight;Turn;Aircraft;Frequency;Passengers (8.12527e+06)
SBGOSBCT;SAB4;A220-300;0;0
SBGOSBCT;SAB4;A319Neo;0;0
SBGOSBCT;SAB4;B737-M7;0;0
SBGOSBCT;SAB4;ATR-72;0;0
SBGOSBCT;DOM1;E190-E2;0;0
SBGOSBCT;DOM1;E195-E2;0;0
SBGOSBCT;DOM1;A220-100;0;0
SBGOSBCT;DOM1;A220-300;0;0
SBGOSBCT;DOM1;A319Neo;0;0
SBGOSBCT;DOM1;B737-M7;0;0
SBGOSBCT;DOM1;ATR-72;0;0
SBGOSBCT;DOM2;E190-E2;0;0
SBGOSBCT;DOM2;E195-E2;0;0
SBGOSBCT;DOM2;A220-100;0;0
SBGOSBCT;DOM2;A220-300;0;0
SBGOSBCT;DOM2;A319Neo;0;0
SBGOSBCT;DOM2;B737-M7;0;0
SBGOSBCT;DOM2;ATR-72;0;0
SBGOSBCT;DOM3;E190-E2;0;0
SBGOSBCT;DOM3;E195-E2;0;0
SBGOSBCT;DOM3;A220-100;0;0
SBGOSBCT;DOM3;A220-300;0;0
SBGOSBCT;DOM3;A319Neo;0;0
SBGOSBCT;DOM3;B737-M7;0;0
SBGOSBCT;DOM3;ATR-72;0;0
SBGOSBCT;DOM4;E190-E2;0;0
SBGOSBCT;DOM4;E195-E2;0;0
SBGOSBCT;DOM4;A220-100;0;0
SBGOSBCT;DOM4;A220-300;0;0
SBGOSBCT;DOM4;A319Neo;0;0
SBGOSBCT;DOM4;B737-M7;0;0
SBGOSBCT;DOM4;ATR-72;0;0
SBGOSBCY;SEG1;E190-E2;0;0
SBGOSBCY;SEG1;E195-E2;0;0
SBGOSBCY;SEG1;A220-100;0;0
SBGOSBCY;SEG1;A220-300;0;0
SBGOSBCY;SEG1;A319Neo;0;0
SBGOSBCY;SEG1;B737-M7;0;0
SBGOSBCY;SEG1;ATR-72;0;0
SBGOSBCY;SEG2;E190-E2;0;0
SBGOSBCY;SEG2;E195-E2;0;0
SBGOSBCY;SEG2;A220-100;0;0
SBGOSBCY;SEG2;A220-300;0;0
SBGOSBCY;SEG2;A319Neo;0;0
SBGOSBCY;SEG2;B737-M7;0;0
SBGOSBCY;SEG2;ATR-72;0;0
SBGOSBCY;SEG3;E190-E2;0;0
SBGOSBCY;SEG3;E195-E2;0;0
SBGOSBCY;SEG3;A220-100;0;0
SBGOSBCY;SEG3;A220-300;0;0
SBGOSBCY;SEG3;A319Neo;0;0
SBGOSBCY;SEG3;B737-M7;0;0
SBGOSBCY;SEG3;ATR-72;0;0
SBGOSBCY;SEG4;E190-E2;0;0
SBGOSBCY;SEG4;E195-E2;0;0
SBGOSBCY;SEG4;A220-100;0;0
SBGOSBCY;SEG4;A220-300;0;0
SBGOSBCY;SEG4;A319Neo;0;0
SBGOSBCY;SEG4;B737-M7;0;0
SBGOSBCY;SEG4;ATR-72;0;0
SBGOSBCY;TER1;E190-E2;0;0
SBGOSBCY;TER1;E195-E2;0;0
SBGOSBCY;TER1;A220-100;0;0
SBGOSBCY;TER1;A220-300;0;0
SBGOSBCY;TER1;A319Neo;0;0
SBGOSBCY;TER1;B737-M7;0;0
SBGOSBCY;TER1;ATR-72;0;0
SBGOSBCY;TER2;E190-E2;0;0
SBGOSBCY;TER2;E195-E2;0;0
SBGOSBCY;TER2;A220-100;0;0
SBGOSBCY;TER2;A220-300;0;0
SBGOSBCY;TER2;A319Neo;0;0
SBGOSBCY;TER2;B737-M7;0;0
SBGOSBCY;TER2;ATR-72;0;0
SBGOSBCY;TER3;E190-E2;0;0
SBGOSBCY;TER3;E195-E2;0;0
SBGOSBCY;TER3;A220-100;0;0
SBGOSBCY;TER3;A220-300;0;0
SBGOSBCY;TER3;A319Neo;0;0
SBGOSBCY;TER3;B737-M7;0;0
SBGOSBCY;TER3;ATR-72;0;0
SBGOSBCY;TER4;E190-E2;0;0
SBGOSBCY;TER4;E195-E2;0;0
SBGOSBCY;TER4;A220-100;0;0
SBGOSBCY;TER4;A220-300;0;0
SBGOSBCY;TER4;A319Neo;0;0
SBGOSBCY;TER4;B737-M7;0;0
SBGOSBCY;TER4;ATR-72;0;0
SBGOSBCY;QUA1;E190-E2;0;0
SBGOSBCY;QUA1;E195-E2;0;0
SBGOSBCY;QUA1;A220-100;0;0
SBGOSBCY;QUA1;A220-300;0;0
SBGOSBCY;QUA1;A319Neo;0;0
SBGOSBCY;QUA1;B737-M7;0;0
SBGOSBCY;QUA1;ATR-72;0;0
SBGOSBCY;QUA2;E190-E2;0;0
SBGOSBCY;QUA2;E195-E2;0;0
SBGOSBCY;QUA2;A220-100;0;0
SBGOSBCY;QUA2;A220-300;0;0
SBGOSBCY;QUA2;A319Neo;0;0
SBGOSBCY;QUA2;B737-M7;0;0
SBGOSBCY;QUA2;ATR-72;0;0
SBGOSBCY;QUA3;E190-E2;0;0
SBGOSBCY;QUA3;E195-E2;0;0
SBGOSBCY;QUA3;A220-100;0;0
SBGOSBCY;QUA3;A220-300;0;0
SBGOSBCY;QUA3;A319Neo;0;0
SBGOSBCY;QUA3;B737-M7;0;0
SBGOSBCY;QUA3;ATR-72;0;0
SBGOSBCY;QUA4;E190-E2;0;0
SBGOSBCY;QUA4;E195-E2;0;0
SBGOSBCY;QUA4;A220-100;0;0
SBGOSBCY;QUA4;A220-300;0;0
SBGOSBCY;QUA4;A319Neo;0;0
SBGOSBCY;QUA4;B737-M7;0;0
SBGOSBCY;QUA4;ATR-72;0;0
SBGOSBCY;QUI1;E190-E2;0;0
SBGOSBCY;QUI1;E195-E2;0;0
SBGOSBCY;QUI1;A220-100;0;0
SBGOSBCY;QUI1;A220-300;0;0
SBGOSBCY;QUI1;A319Neo;0;0
SBGOSBCY;QUI1;B737-M7;0;0
SBGOSBCY;QUI1;ATR-72;0;0
SBGOSBCY;QUI2;E190-E2;0;0
SBGOSBCY;QUI2;E195-E2;0;0
SBGOSBCY;QUI2;A220-100;0;0
SBGOSBCY;QUI2;A220-300;0;0
SBGOSBCY;QUI2;A319Neo;0;0
SBGOSBCY;QUI2;B737-M7;0;0
SBGOSBCY;QUI2;ATR-72;0;0
SBGOSBCY;QUI3;E190-E2;0;0
SBGOSBCY;QUI3;E195-E2;0;0
SBGOSBCY;QUI3;A220-100;0;0
SBGOSBCY;QUI3;A220-300;0;0
SBGOSBCY;QUI3;A319Neo;0;0
SBGOSBCY;QUI3;B737-M7;0;0
SBGOSBCY;QUI3;ATR-72;0;0
SBGOSBCY;QUI4;E190-E2;0;0
SBGOSBCY;QUI4;E195-E2;0;0
SBGOSBCY;QUI4;A220-100;0;0
SBGOSBCY;QUI4;A220-300;0;0
SBGOSBCY;QUI4;A319Neo;0;0
SBGOSBCY;QUI4;B737-M7;0;0
SBGOSBCY;QUI4;ATR-72;0;0
SBGOSBCY;SEX1;E190-E2;0;0
SBGOSBCY;SEX1;E195-E2;0;0
SBGOSBCY;SEX1;A220-100;0;0
SBGOSBCY;SEX1;A220-300;0;0
SBGOSBCY;SEX1;A319Neo;0;0
SBGOSBCY;SEX1;B737-M7;0;0
SBGOSBCY;SEX1;ATR-72;0;0
SBGOSBCY;SEX2;E190-E2;0;0
SBGOSBCY;SEX2;E195-E2;0;0
SBGOSBCY;SEX2;A220-100;0;0
SBGOSBCY;SEX2;A220-300;0;0
SBGOSBCY;SEX2;A319Neo;0;0
SBGOSBCY;SEX2;B737-M7;0;0
SBGOSBCY;SEX2;ATR-72;0;0
SBGOSBCY;SEX3;E190-E2;0;0
SBGOSBCY;SEX3;E195-E2;0;0
SBGOSBCY;SEX3;A220-100;0;0
SBGOSBCY;SEX3;A220-300;0;0
SBGOSBCY;SEX3;A319Neo;0;0
SBGOSBCY;SEX3;B737-M7;0;0
SBGOSBCY;SEX3;ATR-72;0;0
SBGOSBCY;SEX4;E190-E2;0;0
SBGOSBCY;SEX4;E195-E2;0;0
SBGOSBCY;SEX4;A220-100;0;0
SBGOSBCY;SEX4;A220-300;0;0
SBGOSBCY;SEX4;A319Neo;0;0
SBGOSBCY;SEX4;B737-M7;0;0
SBGOSBCY;SEX4;ATR-72;0;0
SBGOSBCY;SAB1;E190-E2;0;0
SBGOSBCY;SAB1;E195-E2;0;0
SBGOSBCY;SAB1;A220-100;0;0
SBGOSBCY;SAB1;A220-300;0;0
SBGOSBCY;SAB1;A319Neo;0;0
SBGOSBCY;SAB1;B737-M7;0;0
SBGOSBCY;SAB1;ATR-72;0;0
SBGOSBCY;SAB2;E190-E2;0;0
SBGOSBCY;SAB2;E195-E2;0;0
SBGOSBCY;SAB2;A220-100;0;0
SBGOSBCY;SAB2;A220-300;0;0
SBGOSBCY;SAB2;A319Neo;0;0
SBGOSBCY;SAB2;B737-M7;0;0
SBGOSBCY;SAB2;ATR-72;0;0
SBGOSBCY;SAB3;E190-E2;0;0
SBGOSBCY;SAB3;E195-E2;0;0
SBGOSBCY;SAB3;A220-100;0;0
SBGOSBCY;SAB3;A220-300;0;0
SBGOSBCY;SAB3;A319Neo;0;0
SBGOSBCY;SAB3;B737-M7;0;0
SBGOSBCY;SAB3;ATR-72;0;0
SBGOSBCY;SAB4;E190-E2;0;0
SBGOSBCY;SAB4;E195-E2;0;0
SBGOSBCY;SAB4;A220-100;0;0
SBGOSBCY;SAB4;A220-300;0;0
SBGOSBCY;SAB4;A319Neo;0;0
SBGOSBCY;SAB4;B737-M7;0;0
SBGOSBCY;SAB4;ATR-72;0;0
SBGOSBCY;DOM1;E190-E2;0;0
SBGOSBCY;DOM1;E195-E2;0;0
SBGOSBCY;DOM1;A220-100;0;0
SBGOSBCY;DOM1;A220-300;0;0
SBGOSBCY;DOM1;A319Neo;0;0
SBGOSBCY;DOM1;B737-M7;0;0
SBGOSBCY;DOM1;ATR-72;0;0
SBGOSBCY;DOM2;E190-E2;0;0
SBGOSBCY;DOM2;E195-E2;0;0
SBGOSBCY;DOM2;A220-100;0;0
SBGOSBCY;DOM2;A220-300;0;0
SBGOSBCY;DOM2;A319Neo;0;0
SBGOSBCY;DOM2;B737-M7;0;0
SBGOSBCY;DOM2;ATR-72;0;0
SBGOSBCY;DOM3;E190-E2;0;0
SBGOSBCY;DOM3;E195-E2;0;0
SBGOSBCY;DOM3;A220-100;0;0
SBGOSBCY;DOM3;A220-300;0;0
SBGOSBCY;DOM3;A319Neo;0;0
SBGOSBCY;DOM3;B737-M7;0;0
SBGOSBCY;DOM3;ATR-72;0;0
SBGOSBCY;DOM4;E190-E2;0;0
SBGOSBCY;DOM4;E195-E2;0;0
SBGOSBCY;DOM4;A220-100;0;0
SBGOSBCY;DOM4;A220-300;0;0
SBGOSBCY;DOM4;A319Neo;0;0
SBGOSBCY;DOM4;B737-M7;0;0
SBGOSBCY;DOM4;ATR-72;0;0
SBGOSBGL;SEG1;E190-E2;0;0
