OD;DESTINO;E190-E2;E195-E2;A220-100;A220-300;A319Neo;B737-M7;ATR-72
SBGOSWSI;SWSI;0.06875510605635525;0.06082233838936357;0.06752531629424298;0.06137543601520302;0.06460619381296846;0.062140339405272686;0.0820790566332708
SBARSBGO;SBAR;0.05535914117965068;0.048870267156808776;0.05465224215611515;0.04959739383684462;0.05201858610239762;0.04987740237357262;0.06889258757158646
SBBESBGO;SBBE;0.05190242850660633;0.045790401015864186;0.05131895704122276;0.04655081011132348;0.04877046299242235;0.04671961555994887;0.06539474549288364
SBBRSBGO;SBBR;0.13786123736683525;0.12277177298651329;0.13315526590429766;0.12163539183237868;0.1295422308463465;0.12585142428948312;0.14401429338631747
SBCFSBGO;SBCF;0.07757384866717283;0.06870308406672149;0.07596615857308778;0.06910749994855202;0.07289278410393786;0.07023249703307373;0.09048737484818524
SBCGSBGO;SBCG;0.07442201135191247;0.06588544778829324;0.07295217074931408;0.06634583112116298;0.06993113915658292;0.06733873921361207;0.08750441474199433
SBCTSBGO;SBCT;0.06498660560646441;0.0574575600306336;0.06391055677276562;0.05806633846552817;0.061065097239714;0.0586867787180705;0.07842379742854443
SBCYSBGO;SBCY;0.07320386862623399;0.06479677332776233;0.07178649153498062;0.06527796156049175;0.06878650322274354;0.06622080912508264;0.08634508656567343
SBEGSBGO;SBEG;0.049311697336366235;0.043483391329409614;0.04881725698355214;0.0442652387550707;0.04633606517526767;0.044354896043413326;0.06274387794030684
SBFISBGO;SBFI;0.06134967566768748;0.0542120309925584;0.06041723096792569;0.054869716672777985;0.05764763177444052;0.05535652389452376;0.0748573882486307
SBFLSBGO;SBFL;0.059367252028640675;0.052443723150488064;0.058511008914638195;0.05312596836568103;0.055784834184706755;0.053542448814358705;0.0728964030437337
SBFZSBGO;SBFZ;0.050119016267984845;0.04420217557814699;0.04959716273499336;0.044977675720106934;0.04709466779195594;0.04509159819765538;0.0635727399336302
SBGLSBGO;SBGL;0.066730025869365;0.0590139801790702;0.06558345966183018;0.059597614746059915;0.062703313713558;0.06028415011393007;0.08011974599947914
SBGRSBGO;SBGR;0.07067227063246682;0.06253480117786306;0.06936242797212813;0.06305770766403487;0.06640767028911701;0.06389833870734152;0.08392377545082051
SBILSBGO;SBIL;0.061969993212681304;0.0547654632936433;0.06101339873293734;0.0554151549101636;0.058230517291402814;0.05592433829557383;0.07546848583615091
SBIZSBGO;SBIZ;0.05897900768805054;0.05209747768680437;0.058137510934537145;0.05278435351778073;0.05542001780155122;0.05318727556205705;0.07251089699759916
SBJPSBGO;SBJP;0.04977972286999257;0.04390007717867621;0.049269427306844644;0.044678282187459555;0.0467758484883804;0.04478196208059183;0.06322470700452498
SBJVSBGO;SBJV;0.06296875315857363;0.055656644188316555;0.06197297558828873;0.05629316112082888;0.05916900873353746;0.05683873557130385;0.07644994331636398
SBKPSBGO;SBKP;0.07328278976916566;0.06486730123523178;0.07186202767769578;0.06534715577612242;0.06886066200088586;0.066293229621204;0.0864203087451774
SBLOSBGO;SBLO;0.07211204602240216;0.06382114085464756;0.07074129685827388;0.06432057555584016;0.06776056483360453;0.06521903453695613;0.08530283124288558
SBMASBGO;SBMA;0.058916115681302075;0.05204139116511436;0.05807700216321965;0.05272901151294217;0.055360920908093636;0.05312974392721;0.07244840282048536
